id|text|Prediction|Label
0|Burning tires and bridges US residents shocked by firm s bitcoin mining plan A crypto mining company in Pennsylvania is seeking to burn tires to produce bitcoin prompting an outcry from residents and environmental groups Stronghold Digital Mining says it is repurposing waste materials while opponents worry about the risks of emissions to human health The production of cryptocurrency is an enormously energy intensive process Its electricity consumption accounts for an estimated 113 terawatt hours a year which is roughly the amount of electricity that countries such as Kazakhstan the Philippines and Ukraine each used in 2022 Stronghold has been burning coal waste to create cheap power for cryptocurrency since 2021 when it bought the Panther Creek power plant in Nesquehoning Pennsylvania It is a controversial approach because although the removal of coal waste can help remediate contaminated land the process emits greenhouse gases and other harmful chemicals It can take twice as much waste coal to produce the same amount of electricity that regular coal would produce The company also says it sometimes needs to burn tire derived fuel made of shredded vehicle tires to make the combustion of waste coal more efficient Additives such as the tire fuel are especially needed when the quality of the coal refuse is low in energy content Stronghold spokesperson Naomi Harrington told the Guardian The crypto miner which receives state subsidies to burn waste coal already holds a temporary permit to test the use of tire derived fuel It is seeking permanent permission for tires to comprise up to 15 or 78 000 tons of its fuel I was shocked said Carol Etheridge who lives less than five miles away from the Panther Creek plant It s terrible I can t even believe that people would be allowed to burn tires The US Environmental Protection Agency has in the past on an archived webpage last updated in 2016 described burning tires for fuel as preferable to landfilling them although environmental advocates criticize the practice It poses risks to the health of people living nearby said Charles McPhedran an attorney with Earthjustice which is fighting the company s tire application This sort of disposal of tires is a last resort Combusting tires can create dioxins and furans highly toxic chemicals linked to cancer and known to be slow to break down in the environment Polycyclic aromatic hydrocarbons PAHs several of which are carcinogenic are also associated with burning tires They are clearly looking to reduce their fuel costs said Rob Altenburg of local environmental group PennFuture There is no analysis for how this will add to the existing burden of legacy pollution in the area The facility is within two miles of communities the state has defined as environmental justice areas Residents of Carbon county along with environmental groups have sent letters of concern to the county commissioner and the Pennsylvania department of environmental protection DEP Stronghold Digital Mining has received seven violations from the DEP for not complying with emissions standards It said in a statement to the Guardian that its operations use the best available control technology for air pollution controls It also said that by burning waste coal Stronghold has reclaimed over 1 050 acres of once unusable land in Pennsylvania Without these operations the waste coal would remain unremediated and continue to harm local communities by polluting waterways and emitting toxins into the atmosphere without any sort of emissions control There is an active local debate on whether it is environmentally sound to burn coal waste owing to the pollution this releases If it remains in place it can leech toxins Now the question of tires has come to the fore Burning tires to fuel something like bitcoin or cryptocurrency which gives no value to anybody here locally in my mind is really unacceptable Etheridge said  Stronghold Digital Mining contends it is repurposing waste material but those living near by are outraged by the proposal|16.0|2.0
1| Russia Ukraine war at a glance what we know on day 555 of the invasion Reviving the Black Sea grain deal is critical for food security Turkey s foreign minister Hakan Fidan said During a joint media appearance with his Russian counterpart Sergei Lavrov he said We underlined its critical role for global food security and stability in the Black Sea Russian installed authorities began holding regional elections on Thursday in parts of Ukraine Russia claimed as its own last year seeking to cement Moscow s authority in what it calls its new territories despite the ongoing conflict Russia does not fully control any of the four regions where the votes are being held Donetsk Luhansk Zaporizhzhia and Kherson Along with Crimea annexed by Moscow in 2014 they make up almost a fifth of Ukraine The Belarusian leader Alexander Lukashenko criticised what he called stupid demands from Poland and the Baltic states for Wagner fighters sheltering in his country to leave AFP reported Wagner fighters took refuge in Belarus after their short lived rebellion against Moscow s military leadership in June prompting concerns from neighbouring countries Ukrainian troops achieved some new successes in the south and east as they tried to advance their counteroffensive against Russian forces the deputy defence minister Hanna Maliar said Kyiv s forces have been making slow progress against Russian minefields and trenches that have blocked a Ukrainian push in the south intended to reach the Sea of Azov and split Russian forces the Associated Press reported The alleged co founder and military commander of the Russian mercenary group Wagner Dmitry Utkin was buried near Moscow on Thursday British defence company BAE Systems said on Thursday it had set up a local entity in Ukraine and signed deals with the government there to help ramp up Kyiv s supply of weapons and equipment Ukraine s foreign minister Dmytro Kuleba has hit out at critics of Kyiv s tactics in its counteroffensive against Russia s invasion saying they were spitting in the faces of Ukrainian soldiers and should shut up Royal Navy warships and RAF patrol aircraft have tracked a series of Russian warships as they travelled close to the UK including through the Channel Two Ukrainian saboteurs were killed and five captured during an incursion into the region of Bryansk a Russian official reportedly said on Thursday Separately Russia reportedly said on Thursday it intended to develop ties with North Korea A newly released video of Yevgeny Prigozhin purports to show the Wagner group boss in Africa addressing rumours about his wellbeing and threats to his life just days before his death The UK government has named ex energy secretary Grant Shapps as the new defence secretary A former chief of the general staff of the British army said Shapps knows very little about defence and it will take him quite some time to get up to speed A military spokesperson said Ukrainian armed forces are making progress in the direction of Novoprokopivka the village beyond Robotyne in the direction of Melitopol Russia s air defences are struggling to detect and destroy Ukrainian drones launched on its territory judging by how many have reached their targets the UK s Ministry of Defence said in its latest intelligence update Ukraine s president Volodymyr Zelenskiy has decried corrupt medical exemptions that have enabled people to avoid military service saying the system was subject to bribes and mass departures abroad  Russia installed authorities hold elections in occupied parts of Ukraine Kuleba hits out at critics of counteroffensive|1.0|1.0
2|Hurricane Idalia clean up begins after heartbreaking destruction in south eastern US Residents across the south eastern US were beginning the clean up from Hurricane Idalia on Thursday as Joe Biden signed a major disaster declaration for Florida and the weakened but still powerful tropical storm dumped torrents of rain in North Carolina and Virginia The worst of the devastation was evident along Florida s Gulf coast where Idalia tore ashore on Wednesday as a category 3 hurricane with gusts of 160mph and sent a surge of seawater of up to 16ft far inland through vulnerable low lying communities Roofs were torn from some buildings houses were submerged by water from the Gulf of Mexico and flash flooding and thousands of downed trees and power lines littered a trail from Florida s west coast to Wilmington North Carolina Florida s Republican governor Ron DeSantis toured some of the worst hit areas on Thursday afternoon with Deanne Criswell administrator of the Federal Emergency Management Agency and said he was heartbroken at what he saw He said there was one confirmed fatality in a storm related traffic accident Torrential rain and significant inland and coastal flooding meanwhile continued in Georgia the Carolinas and Virginia as forecasters warned that the grip of Idalia still a tropical storm with winds of 65mph would not be fully loosened until late Thursday or early Friday Biden has said he will visit Florida over the weekend to survey damaged caused by the powerful storm The president s signature on the major disaster declaration frees federal funds to reimburse state and local authorities and individuals for rebuilding But he warned in an afternoon press conference at the White House that funding was not unlimited We re going to need a whole hell of a lot more money he said in reference to congressional pushback against Fema s need for more relief funds after recent natural disasters including fires on the island of Maui in Hawaii Analysts said that Idalia which unofficially is being blamed for the deaths of two motorists in Florida and a man trying to clear a felled tree in Georgia could become the costliest climate disaster to affect the US this year with an initial estimated price tag up to 20bn DeSantis and Criswell visited Cedar Key which was submerged for several hours on Wednesday Horseshoe Beach and Steinhatchee three of the most badly affected areas I ve seen a lot of really heartbreaking damage When people lose a church when they lose their home when they lose a business this was really the day after the impact and it was very raw he said When you have your whole life s work into say a business and it ends up under 5ft of water that s a lot of work you ve got to do It was very difficult to see I know it s not easy now I know it s going to be a lot of work But we will get everyone back on their feet Criswell said before and after satellite imagery was being used alongside ground inspections to identify the areas of greatest need across the affected region We re also doing our damage assessments from the air using the Civil Air Patrol as well as space so we can get a true impact of the overall damage We ll use all of that information to help determine what additional programs potentially need to be added she said Record or near record high water levels were reported in many areas including Charleston Harbor South Carolina and Cedar Key Clearwater Beach and St Petersburg in Florida the National Weather Service said After leaving the US mainland early Thursday Idalia s center was forecast to continue weakening as it moves towards the south east and an uncertain path south west of Bermuda by the weekend It will remain a tropical storm but no longer threatening land for at least the next several days Daniel Brown a senior storm specialist at the National Hurricane Center NHC in Miami said As a reminder that mid August to mid October is the peak of the six month Atlantic hurricane season that runs until November Idalia is one of five active tropical disturbances Tropical Storm Jose formed on Thursday morning the 10th named storm of what the NHC said would be an above average season featuring six to 11 hurricanes up to five of them major of category 3 status or higher with sustained winds in excess of 111mph I don t think anybody can deny the impact of a climate crisis any more Biden said on Wednesday as he addressed recovery efforts for Idalia at the White House Just look around Historic floods I mean historic floods More intense droughts extreme heat significant wildfires have caused significant damage In a rare moment of political unity Biden praised DeSantis who is seeking his party s presidential nomination to run against him for his handling of the storm I think he trusts my judgment and my desire to help and I trust him to be able to suggest this is not about politics this is about taking care of the people of his state the president said About 120 000 customers remained without power on Thursday evening from a peak of more than half a million according to poweroutage us In Georgia the figure was below 60 000 In Valdosta Georgia where the Republican governor Brian Kemp announced a state of emergency lasting until early September and in Florida s Pasco county north of Tampa boat crews were attempting to rescue dozens of residents trapped in flooded homes on Wednesday night DeSantis said earlier on Thursday before the first storm related fatality was confirmed that 40 mostly high water rescue missions had been successfully completed by the national guard the US Coast Guard and other agencies When you have a storm hitting close to 130mph just under category 4 and not as of now have any reported fatalities it s probably something that most people would not have bet on four or five days ago he said  Tropical storm moves into Atlantic but torrential rain and inland flooding still likely in North Carolina officials warn|1.0|2.0
3|Jail housing Charles Bronson is fundamentally unsafe says watchdog The high security jail that holds Charles Bronson needs urgent support amid the high rate of attacks on prison officers and chronic staff shortages the watchdog has said The chief inspector of prisons Charlie Taylor wrote to the justice secretary Alex Chalk to issue an urgent notification for improvement at HMP Woodhill after an inspection found the Milton Keynes jail was fundamentally unsafe Staff at Woodhill which has dangerous category A offenders among its inmates and accommodates up to 500 prisoners were subject to the highest rate of serious assaults in England and Wales and inspectors found bullying and intimidation by prisoners to be commonplace The watchdog said the low morale meant many staff had voted with their feet with more officers leaving than joining and with no indication that the situation would improve Inspectors found high levels of violence and drug use at the jail when they visited between 14 August and 25 August There has been a worrying decline in conditions at Woodhill between the five inspections carried out since 2014 Taylor said in his letter Reported incidents of violence at the prison had risen sharply with 298 attacks recorded in the 12 months leading up to the inspection compared with 182 assaults prior to the previous inspection The use of force against inmates was also among the highest in the adult male estate but leaders had yet to take effective action to make the prison safer At least 26 prisoners were found self isolating in their cells in fear for their safety and the rate of self harm was the highest in the country for men s prisons Taylor said This was a very concerning inspection Woodhill is a complex high risk prison holding prisoners convicted of serious offences It simply cannot operate effectively with such chronic staff shortages Urgent support is needed from His Majesty s Prison and Probation Service to help Woodhill and other establishments to develop credible long term plans that improve staff recruitment and crucially staff retention It should be of considerable concern to us all that only a third of the prisoners at Woodhill said that their experience would make them less likely to reoffend in the future a far lower proportion than at similar prisons Staff shortages meant education classes and work were often cancelled for prisoners while the library had been shut since 2020 Pia Sinha chief executive of the Prison Reform Trust described the report as shocking adding After repeated warnings it is extremely disappointing that the prison now finds itself in this position Ministers urgently need to get a grip on what has gone wrong The prisons minister Damian Hinds said The findings of this report demonstrate the urgent need for improvement at HMP Woodhill and we will be working closely and quickly with the prison to set out how it can address these issues Ministry of Justice figures published in July showed the number of prisons rated outstanding had fallen to its lowest point in six years PA Media contributed to this report  Urgent support needed over high levels of violence and drugs at understaffed HMP Woodhill|1.0|0.0
4|Premier League 10 things to look out for this weekend Hammers hope to build on promise Winning the Conference League did not do much to lift the pressure on David Moyes after an underwhelming domestic season but the clouds look to be lifting New signings have joined to bolster the ranks and only two points have been dropped in three matches to put the Hammers second behind Manchester City Things could hardly be going better One problem Moyes will soon face is European football an activity that hindered West Ham s league form last season To limit its impact picking up points in winnable matches such as Friday s trip to Kenilworth Road will be crucial At this stage last season West Ham had failed to muster a point and they collected only four from their opening seven matches They have the foundations to build on this time around and Luton s first Premier League fixture at Kenilworth Road will be a tricky prospect but a confident West Ham will not want to lose what they have worked hard to build Will Unwin Luton v West Ham Friday 8pm all times BST Will Archer add to Everton s troubles Cameron Archer began this season on Aston Villa s bench as they lost 5 1 at Newcastle on the Premier League s opening day The England Under 21s striker who scored twice as the European Championship crown was secured in Georgia this summer had hoped to break into Unai Emery s first team but instead has joined Sheffield United for 18m His new manager Paul Heckingbottom must hope the striker reprises the sort of form that brought him 11 goals and six assists in 20 appearances for Michael Carrick s Middlesbrough in the Championship last season Heckingbottom has signed eight new mainly inexperienced players since winning promotion but as Sheffield United prepare to face Everton in an already vital looking six pointer at Bramall Lane the Blades are still feeling the loss of two players they have sold the midfielder Sander Berge and the principal striker Iliman Ndiaye They must hope Archer will at least solve the attacking gap vacated by the Senegal player s exit On the basis of Middlesbrough s woeful start to this Championship campaign Carrick is certainly missing a forward who scored four goals in 14 first team appearances for Villa Louise Taylor Sheffield United v Everton Saturday 12 30pm Mee time for Brentford Ben Mee won supporters player of the season in his first year in west London but is yet to get his Premier League campaign under way after injury stopped him from partaking in their opening three matches He returned in midweek to play against Newport in the Carabao Cup leaving Thomas Frank with a decision to make this weekend Nathan Collins and Ethan Pinnock have been his centre back pairing so far after Frank changed from a back five to a four this season It is unlikely the manager will revert to three central defenders mainly because the change in formation was brought about by Ivan Toney s absence so it is a question of whether he is bold enough to drop Collins or Pinnock to bring Mee s added experience into a team lacking it Joachim Andersen s equaliser last weekend showed Brentford have a soft underbelly an issue Mee could help to address WU Brentford v Bournemouth Saturday 3pm How will Spurs react at Burnley Ange Postecoglou said he was at the discovery stage of his Tottenham tenure when explaining why nine changes were made for the Carabao Cup second round exit at Fulham As well as discovering the limitations of his fringe players at Craven Cottage where early season momentum was hit by the performance level and the penalty shootout defeat the Spurs manager received further evidence of James Maddison s importance merely four games into their careers with the club Maddison was among those benched at Fulham and entered the fray only in the 82nd minute as Postecoglou sought to avoid spot kicks The creativity he had sprinkled over Spurs win at Bournemouth three days earlier was badly missed along with an opportunity to pursue much needed silverware There was a complacency to the first setback of Postecoglou s reign and he will be looking to Maddison to spark the reaction against a Burnley team without a Premier League point so far Andy Hunter Burnley v Tottenham Saturday 3pm Jackson continuing early form Chelsea have not exactly earned a reputation for financial prudence during the last year but they deserve credit for spotting Nicolas Jackson s potential In a summer when Manchester United paid 72m to sign Rasmus H jlund from Atalanta Jackson is looking comparative value for money after leaving Villarreal for 32m The striker may have some rough edges but he has not been fazed by being handed the responsibility of trying to fix Chelsea s problems in the final third The 21 year old s all round game has impressed he caused plenty of problems for Liverpool and West Ham with his pace strength movement and link up play and he displayed a poacher s instinct when he scored from close range during last week s win over Luton Mauricio Pochettino will hope Jackson s momentum continues when Chelsea host Nottingham Forest Jacob Steinberg Chelsea v Nottingham Forest Saturday 3pm Leaders looking imperious already While Manchester City s prospective title rivals Liverpool and Arsenal have dropped points Pep Guardiola s cold eyed win machine has reeled off three victories from three games This has been done despite the exits of Ilkay G ndogan and Riyad Mahrez and with Kevin De Bruyne ruled out due to injury until next year since the first half of the opening night win at Burnley But City are as expert in the market as their neighbours Manchester United are middling and in has come J r my Doku a wideman to be followed by Matheus Nunes from Wolves This means Guardiola again will have a frightening depth of squad quality and as Fulham arrive with four points from their three Premier League outings this should be victory number 201 under the Catalan in the competition Jamie Jackson Manchester City v Fulham Saturday 3pm Baleba brings new option to Brighton He will be the future of the club said the Brighton manager Roberto De Zerbi of his new signing Carlos Baleba The hype that is constantly associated with the Seagulls recruitment of players means there is growing pressure on whoever arrives regardless of their reputation Many will already be earmarking the Cameroonian for a big money move in two years In the immediate future the 19 year old will be a natural replacement for Mois s Caicedo who performed his duties superbly in midfield to earn his record breaking move to Chelsea Baleba made only 19 appearances for Lille last season an indication of his lack of experience He will get the best schooling possible but may start from the bench against Newcastle to get a glimpse of what being a Premier League player entails because Brighton will be up against a classy collection of players and knowing how to shut them down will be a tough task for De Zerbi and his men WU Brighton v Newcastle Saturday 5 30pm Liverpool s evolution up front Newcastle may have been a win for the ages in the eyes of Trent Alexander Arnold but it needs to be a turning point for Darwin N ez at Liverpool the moment when his undoubted talent becomes an integral and consistent part of J rgen Klopp s formidable attack The Uruguay international already a cult hero at Anfield before his match winning heroics at St James Park has shown more quality in front of goal than his detractors would like to believe since arriving for a potential club record 85m from Benfica last summer But questions over his suitability to Klopp s finely tuned tactics and willingness to start a defensive shift from the front remain legitimate As the Liverpool manager s selections testify N ez is yet to start this season and did so in only three of the final 10 games for which he was available at the end of his first campaign missing the last three matches with a toe injury His Newcastle heroics merit reward in another high quality test against an in form Aston Villa AH Liverpool v Aston Villa Sunday 2pm Forward thinking for Wolves It may have been League One opposition but Wolves managed to score five goals in their Carabao Cup thrashing of Blackpool in midweek The better news is that three different forwards got on the scoresheet Regardless of the opponents getting into a rhythm in front of goal can only be good news for Gary O Neil s bullpen of strikers Sasa Kalajdzic has two in as many games while F bio Silva netted his first Wolves goal since May 2021 and Nathan Fraser scored on his debut As Wolves showed against Manchester United in their opening match they can create chances but struggle to score them Last season they mustered a pitiful 31 goals in 38 matches which can partly be attributed to a lack of confidence from their misfiring strikers Ra l Jim nez and Diego Costa have left leaving a new set of forwards to take on the pressure of scoring enough goals to keep Wolves in the Premier League Tuesday night s efforts will have lifted a burden now they need to follow it up at Selhurst Park to keep the momentum going WU Crystal Palace v Wolves Sunday 2pm Ten Hag s latest midfield conundrum Manchester United return to north London a fortnight after losing 2 0 to Tottenham Despite victory over Nottingham Forest Erik ten Hag still has far more questions than answers about his team this season United could easily have lost all three of their opening matches Wolves failed to convert chances while Forest gave up a two goal lead and had a man sent off The midfield has clearly been the issue with every combination selected so far looking unable to cope with the rigours of the opposition Christian Eriksen was used alongside Casemiro against Forest but struggled with the physicality of the fixture Against Arsenal it would seem sensible to have someone more robust in that area to help the Brazilian and Scott McTominay seems the ideal candidate for the role He has his detractors but does perform his duties diligently in midfield while having the stamina to get up and down for the entire match United are unlikely to control proceedings at the Emirates so bringing in the Scotland international would give them much needed energy in the middle of the pitch WU Arsenal v Manchester United Sunday 4 30pm Comments will open at 7am BST on Friday There are crunch showdowns at the Emirates and at Bramall Lane while Manchester City already look imperious|11.0|11.0
5|UK golden era of cancer treatment has saved 1 million lives study shows More than a million lives have been saved thanks to a golden era of progress in cancer prevention diagnosis and treatment in the UK with death rates plunging by a quarter according to a study The Cancer Research UK analysis suggests major advances in tackling the disease over the last four decades have prevented 1 2 million deaths However progress has not been equal across all cancers and women have not reaped as many of the benefits as men The enormous strain on the NHS also threatens to derail further progress the charity said Thanks to research and progress a huge number of people in the last 40 years have reached milestones in their lives they didn t think they d see and had more invaluable time with their loved ones said Michelle Mitchell the charity s chief executive The fact that over a million lives have been saved from cancer in this time reflects the power of research Discoveries into more effective and kinder treatments improvements to screening programmes and strategies to help detect and prevent cancer have all been essential to this While the analysis showed the UK was beating cancer Mitchell said there was still cause for concern Despite these hard fought gains the situation for people affected by cancer across the UK remains worrying Long waiting times are leaving many people facing fear and uncertainty Cancer is a fixable problem with continued investment in cancer research strong political leadership and the continued support of the public we can build upon the fantastic progress from the last 40 years Since the mid 1980s UK cancer death rates have fallen by about a quarter If the rates had stayed the same 1 2 million more lives would have been lost to cancer the study showed Progress in cancer prevention diagnosis and treatment have all contributed to the reduction in cancer deaths This included improvements in radiotherapy screening programmes prevention policies drug developments and gene discoveries Alan Sugden 75 who joined a trial testing a new treatment for bowel cancer after his diagnosis in 2008 is among those who have benefited Before surgery patients would receive chemotherapy and again afterwards This differed from the typical standard of care treatment which normally only included chemotherapy after an operation Having chemotherapy before my operation helped shrink my tumour which made it easier for the surgeon to remove said Sugden In the years since my cancer was treated I ve been able to reach milestones and make memories that I wasn t sure would be possible when I was first diagnosed I have managed to get back on the golf course becoming captain of my local club in 2019 It has been a joy to see my grandchildren born and grow up with the eldest now 11 and to be able to carry on working part time Prof Jean Abraham of the University of Cambridge said the UK had benefited from a golden era in research since the 1980s We ve seen incredible progress in the way that we prevent diagnose and treat cancer In my own field of personalising breast cancer treatments we re now able to complete genome sequencing from the lab to the clinic in a matter of days when 10 years ago it would have taken months But for all the progress we ve made there is so much more about cancer that we don t know That is why it s crucial that we continue pioneering cancer research to save more lives  Cancer Research analysis shows Britain is beating cancer but strain on NHS could derail progress|1.0|24.0
6|Tokyo braces for another big one on 100th anniversary of deadly quake The earthquake that struck the Tokyo region two minutes before noon on 1 September 1923 was so powerful that it destroyed the central weather bureau s seismometers Over almost two days fires triggered by household gas burners chemicals and overhead wires raged through the wooden buildings of eastern Tokyo s low lying shitamachi neighbourhoods By the time the blazes had been extinguished or burned themselves out an estimated 105 000 people were dead or missing and most of the city s buildings had been destroyed including 290 000 homes The damage was estimated at 5 5bn equivalent to 37 of Japan s gross domestic product at the time As the Japanese capital marks the 100th anniversary on Friday of what became known as the Great Kant Earthquake its residents are bracing themselves for another big one Seismologists believe there is a 70 chance of a massive earthquake hitting the Tokyo metropolitan area within the next 30 years killing up to 23 000 people and causing direct damage reaching 47tn 254bn Widespread disruption to manufacturing and services caused by damage to transport networks and power cuts could reach an additional 48tn along with price rises and a plummeting yen according to Japan s Cabinet Office About 4 53 million people would be unable to return home in the aftermath of the quake according to an estimate published last year by the Tokyo metropolitan government The Tokyo of today bears little resemblance to the city levelled by the 7 9 magnitude offshore quake a century ago Evidence of the destruction is preserved at a memorial museum in eastern Tokyo piles of nails welded into a grotesque sculpture by the heat from the fires charred printing machines buckled bicycles and black and white photos of crowds of dazed residents seeking an exit from the mayhem The human toll in that disaster came not only from the collapsed burned buildings Mobs armed with swords and iron bars and encouraged by police murdered a large number of Korean residents after baseless rumours that they were exploiting the chaos to loot and poison wells The 1923 disaster provided valuable lessons for a country that sits on the Pacific s seismically hyperactive ring of fire and accounts for fifth of the world s most powerful earthquakes The Kant disaster marked the dawn of seismic design of structures in Japan according to Yoshiaki Nakano an earthquake engineering expert from the National Research Institute for Earth Science and Disaster Resilience New building codes to make structures more resistant to seismic activity were introduced a year later and have been adapted in the decades since to reflect the technological advances made after other powerful earthquakes in Japan including the 2011 triple disaster in which more than 18 000 people died and the Kobe earthquake in January 1995 that killed 6 000 While other countries such as Turkey and Syria are given horrific reminders of the vulnerability of their buildings Japan has some of the most stringent safety regimes in the world demonstrated by the terrifying sight on 11 March 2011 of skyscrapers swaying but remaining upright in a 9 magnitude quake The ever present threat of earthquakes and tsunami forms part of the Japanese psyche from the schoolchildren who know instinctively to pull on their protective zukin hoods and take shelter beneath their desks to the stockpiling by Tokyo authorities of millions of instant meals Few people in Japan will not have been startled by a smartphone alert warning them of an impending quake theoretically giving them just enough time to take cover the occasional false alarm notwithstanding On Friday self defence force personnel members of the emergency services politicians and public officials will take part in simulations to remind them of Japan s vulnerability and how to survive the worst on national Disaster Prevention Day introduced in 1960 to commemorate the 1923 quake In his 1983 book Low City High City Edward Seidensticker speculated that relocating the capital would have made sense to some policymakers before the 1923 disaster Tokyo lies in earthquake country he wrote Another flattening earthquake was bound to come It has not come in the more than 60 years since the last one but the assumption that it will come some day is universal But discussions on moving the capital or some of its main functions to Kyoto or Osaka gained little traction and the breakneck pace of reconstruction appeared to justify the decision to retain Tokyo as imperial Japan s political and economic centre A century on with the long predicted seismic shock yet to come the concentration of power and money in Tokyo has dramatically raised the stakes The Great Kant quake involved a collision between tectonic plates beneath ocean floor plates said Prof Takaaki Kato an expert on safety and urban planning at Tokyo University s institute of industrial science That type of earthquake occurs every 200 to 300 years But he added that doesn t mean we can relax He said In the 100 year period before an offshore earthquake occurs there will be quakes of at least 7 magnitude whose epicentres are inland and we can expect several quakes like that in the Tokyo metropolitan area I can t say exactly when and where only that it will happen and that we should be prepared for it  Japan has learned key lessons from the 1923 earthquake that killed 105 000 people but rapid growth of the capital has raised the stakes|1.0|1.0
7|Cryptic crossword No 29 164  Cryptic crossword No 29 164|9.0|9.0
8|Quick crossword No 16 637  Quick crossword No 16 637|9.0|9.0
9|Families of Yorkshire divers who died on Greece trip may never know what happened  The families of two men from Yorkshire who died on a scuba diving trip in Greece have been told they may never find out exactly what happened to their loved ones A Hull coroner has said it is not possible to determine what caused the deaths of Dr Vincent Hong a consultant cardiothoracic anaesthetist and Timothy Saville a Huddersfield businessman who died within three days of each other on the same trip Hong 53 died on 27 September 2019 while exploring SS Burdigala which lies off the Greek island of Kea A fellow diver told the inquest that at a depth of 63 metres they noticed Dr Hong had become entangled in his line and his mouthpiece had fallen out CPR was carried out on the surface but he died in a health centre a short time later Two days after his death Saville 61 died on the same island while getting into trouble diving HMHS Britannic a sister ship of the Titanic which was sunk during the first world war A witness said less than 12 minutes into the 116m dive Saville appeared to have stopped and his breathing equipment was no longer in his mouth Saville also died in the health centre after receiving CPR on the surface Both men were very experienced scuba divers and the inquest was told how they had trained for two years before the trip A UK pathologist found high levels of carbon monoxide in the blood of both men but had been let down by Greek authorities who failed to properly gather evidence the coroner Prof Paul Marks said recording an open verdict He said Quite how Mr Hong and Mr Saville met their deaths cannot be determined on the evidence we have heard We have gone to exhaustive lengths to determine the cause of death in both cases We have been let down by Greek authorities who did not take blood samples at the time to test for carboxyhaemoglobin levels carbon monoxide in the blood and did not examine the gas cylinders He added I appreciate how difficult this has been for both families losing loved ones to activities they loved and were excellent at The fact there were two deaths in three days is not lost on me Whether this was a coincidence or something else I cannot determine The diving company Kea Divers has been charged with negligent manslaughter and will stand trial in Athens in January The widows of the men Lily Yeung and Liz Saville will give statements at the Greek hearing Saville said I am honestly not sure whether we will get answers over actually what killed them but hopefully we will get some concessions over what we want done better They hoped that divers could be warned about the dangers of carbon monoxide and that defibrillators would be made available on diving boats Yeung said We are happy with the inquest and to have finally got some explanation even if we will never know exactly what caused their deaths  Investigation into deaths of Vincent Hong and Timothy Saville let down by Greek authorities says coroner|1.0|1.0
